"escalated","dataset","arm","model","wi","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
FALSE,"c_proliferum2","D","ecxll4",0.047450622423487,0,0,1.00461344613058,0.152151625268932
FALSE,"c_proliferum2","SQ","nec3param",0.000739044173435056,0,0,1.00286332422155,0.124845563576035
FALSE,"c_proliferum2","SQ","nec4param",0.000461529627619056,0,0,1.0074274212981,0.070562156055243
FALSE,"c_proliferum2","SQ","ecxexp",1.04809445974114e-14,0,0,1.00116689212149,0.361952025446844
FALSE,"c_proliferum2","SQ","ecxsigm",2.20443805219073e-06,0,0,1.00319026760728,0.211690961160646
FALSE,"c_proliferum2","SQ","ecx4param",0.242178666694273,0,0,1.00090867030182,0.435109471246685
FALSE,"c_proliferum2","SQ","ecxwb1",0.162702873679125,0,0,1.00308870815705,0.381494051739377
FALSE,"c_proliferum2","SQ","ecxwb2",0.229782957181926,0,0,1.0018556724618,0.404496721312258
FALSE,"c_proliferum2","SQ","ecxll5",0.0974601601470835,19,0,1.0032766013405,0.243030439707664
FALSE,"c_proliferum2","SQ","ecxll4",0.266601053770122,0,0,1.00155710335278,0.403664265552484
FALSE,"c_proliferum2","SQ","ecxll3",7.15102883540824e-05,0,0,1.00220684000885,0.354854162448286
FALSE,"r_salina","A","nec4param",0.339474811384339,0,0,1.0020058676549,0.134785232473294
FALSE,"r_salina","A","neclin",1.48872955040211e-28,0,0,1.00195931249544,0.413711644042339
FALSE,"r_salina","A","ecxlin",5.23632706160386e-28,0,0,1.00080668492176,0.386039206246283
FALSE,"r_salina","A","ecx4param",0.303285567325825,307,626,1.00947069238783,0.0440250967705164
FALSE,"r_salina","A","ecxwb1",6.62204609673668e-67,1959,0,2.23966807066164,0.000654523257849841
FALSE,"r_salina","A","ecxwb2",0.129614552685525,6,50,1.00914274461456,0.0697627107409711
FALSE,"r_salina","A","ecxll5",0.22762506860431,2075,0,1.0059436062156,0.110046288120406
FALSE,"r_salina","A","ecxll4",1.09558121052249e-60,367,0,1.73862988856418,0.000761167447145782
FALSE,"r_salina","B1","nec4param",0.118546302719723,85,0,1.00883522936046,0.00938944009271002
FALSE,"r_salina","B1","neclin",5.0483933006016e-60,0,0,1.001466946928,0.406754414487551
FALSE,"r_salina","B1","ecxlin",1.89536768405028e-59,0,0,1.00093760951178,0.423704854263678
FALSE,"r_salina","B1","ecx4param",0.285137054342016,9,0,1.00466825121505,0.163748056305207
FALSE,"r_salina","B1","ecxwb1",2.60918371365394e-29,1729,0,1.68101019304868,0.000789540834752542
FALSE,"r_salina","B1","ecxwb2",0.173993575905338,2,0,1.00239618853232,0.237560327123447
FALSE,"r_salina","B1","ecxll5",0.125700523679696,2133,0,1.00549874148882,0.109000249538004
FALSE,"r_salina","B1","ecxll4",0.296622543353227,157,0,1.02029212884088,0.00670306825151252
FALSE,"r_salina","B2","nec4param",0.109910658006199,1,0,1.00335445188307,0.0718964716930418
FALSE,"r_salina","B2","ecx4param",0.150924175581938,3,0,1.00160705319351,0.229037604987021
FALSE,"r_salina","B2","ecxwb1",0.341779952904549,76,0,1.00868805232515,0.0260796508410613
FALSE,"r_salina","B2","ecxwb2",0.113355373211016,20,0,1.00419318560275,0.052384790702554
FALSE,"r_salina","B2","ecxll5",0.138166191522409,1337,0,1.00169736794072,0.135352506035676
FALSE,"r_salina","B2","ecxll4",0.145863648773889,28,0,1.00142597817349,0.112919033944054
FALSE,"r_salina","B3","nec4param",0.119024743949806,4,0,1.00180021040763,0.155003852040016
FALSE,"r_salina","B3","ecx4param",0.283061255922874,25,0,1.00340459473136,0.104150348180364
FALSE,"r_salina","B3","ecxwb1",2.66809384885018e-23,288,0,1.93296583491103,0.000690251968571343
FALSE,"r_salina","B3","ecxwb2",0.16801103410114,3,0,1.0031921970081,0.266115539166969
FALSE,"r_salina","B3","ecxll5",0.134084664135422,2193,0,1.01113659956485,0.0876280104409875
FALSE,"r_salina","B3","ecxll4",0.295818301890758,51,0,1.00098363211389,0.168203956910786
FALSE,"r_salina","C","nec4param",0.353517212596425,18,0,1.00165103219559,0.261748384470277
FALSE,"r_salina","C","neclin",0.304289352778529,4,0,1.00511462730625,0.0941564855599511
FALSE,"r_salina","C","ecxlin",1.34450243020265e-56,0,0,1.0010701047961,0.362390274084865
FALSE,"r_salina","C","ecx4param",6.05727926800598e-31,535,0,1.53711528028153,0.000892655650980267
FALSE,"r_salina","C","ecxwb1",2.14246195913798e-43,956,0,1.73550253400505,0.000761844880470673
FALSE,"r_salina","C","ecxwb2",2.61726277167345e-43,18,0,1.73807858503289,0.000761875223920019
FALSE,"r_salina","C","ecxll5",0.342193434625047,2041,0,1.00330057568643,0.10864962266296
FALSE,"r_salina","C","ecxll4",9.98589251482281e-52,527,0,1.5303796209124,0.000894648160976238
FALSE,"r_salina","C2","nec4param",0.502515632266633,13,0,1.00325607412355,0.148304031665327
FALSE,"r_salina","C2","neclin",8.66123873772044e-74,0,0,1.00075066395846,0.405524360402808
FALSE,"r_salina","C2","ecxlin",6.6769468360779e-74,0,0,1.00131472514212,0.435334207721775
FALSE,"r_salina","C2","ecx4param",3.70053274064332e-48,286,130,1.73543225743646,0.000762867964605356
FALSE,"r_salina","C2","ecxwb1",3.28287116727162e-55,1847,4,2.39052048547524,0.000654359286627583
FALSE,"r_salina","C2","ecxwb2",1.2519060122263e-48,50,0,1.73497475640794,0.000762432072412168
FALSE,"r_salina","C2","ecxll5",0.497484367733367,2508,0,1.00634154379549,0.0919818135636407
FALSE,"r_salina","C2","ecxll4",5.59738608235476e-58,418,0,1.53134784668876,0.000890513947036879
FALSE,"r_salina","D","nec4param",0.353741966602243,18,0,1.00462750089342,0.143206583262869
FALSE,"r_salina","D","neclin",0.350895835391984,0,0,1.00260044734721,0.340932106187491
FALSE,"r_salina","D","ecxlin",2.36189715590774e-15,0,0,1.00202379274892,0.405134307308888
FALSE,"r_salina","D","ecx4param",1.18338171208674e-11,275,0,1.73933343148169,0.00075898949351234
