"dataset","arm","model","wi","requested","dropped","dropped_rhat"
"c_proliferum2","C","ecx4param",0.0571562813572816,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C","ecxwb1",0.0487104129785249,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C","ecxwb2",0.161449428605868,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C","ecxll4",0.0575616814335703,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C2","nec4param",0.253785263179697,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C2","neclin",0.436591616777973,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C2","ecxlin",1.53228813058704e-09,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C2","ecx4param",0.0625754681604722,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C2","ecxwb1",0.0516874489364284,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C2","ecxwb2",0.14025433881012,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C2","ecxll4",0.0551058626030214,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","D","nec4param",0.29204021979958,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","D","neclin",0.415389104911473,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
