"cell","arm","endpoint","delta","top_factor","R","sigma_ratio","truth","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","rel_bias","f_neg"
"d4.0_t2.0_R17.0_s8.1","B3","ErC50",4,2,17,8.09002951790214,5.05328956463279,500,-0.508868695388653,0.00421700568903456,0.517514380959837,0.00411953925522635,0.004,0.00282276460230038,-0.100700482107764,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","B1","NSEC",4,2,17,8.09002951790214,1.3,500,0.621192569754217,0.00373441405635416,0.626768846578746,0.00407881204316524,0,0,0.477840438272475,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","B3","ErC10",4,2,17,8.09002951790214,2.01968716248917,500,0.316434624458963,0.00539755885395095,0.33862746301184,0.00897044238586395,0.034,0.00810481338464989,0.156675068464055,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","D","ErC10",4,2,17,8.09002951790214,2.01968716248917,500,0.0480980972716019,0.0042013295740465,0.105457863082074,0.00425252610687652,0.928,0.0115599307956406,0.0238146274160218,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","B1","ErC50",4,2,17,8.09002951790214,5.05328956463279,500,-0.411235086828033,0.00451019328121257,0.423396831013144,0.00440961065297068,0.022,0.00655987804764692,-0.0813796798240505,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","E","NSEC",4,2,17,8.09002951790214,1.3,500,0.677329409921614,0.00359366927537041,0.682069970396199,0.00418768916837412,0,0,0.521022623016626,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","B1","ErC10",4,2,17,8.09002951790214,2.01968716248917,500,0.264621108434276,0.00319797198769164,0.274094174365638,0.00394651219426422,0.18,0.0171813852759316,0.131020839934509,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","E","ErC50",4,2,17,8.09002951790214,5.05328956463279,500,-0.759778560207952,0.00481322761149563,0.767348599667492,0.00482705837885924,0,0,-0.150353260087355,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","F","NSEC",4,2,17,8.09002951790214,1.3,500,1.32164489870466,0.0143766737412325,1.36010401199875,0.0186629207733391,0,0,1.0166499220805,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","F","ErC50",4,2,17,8.09002951790214,5.05328956463279,500,-0.74527595522282,0.00650322567837199,0.759302264978172,0.00561637045980941,0.374,0.0216390387956582,-0.147483326591631,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","E","ErC10",4,2,17,8.09002951790214,2.01968716248917,500,0.255205514126327,0.00292916660620128,0.263460211278512,0.00434556001036009,0.41,0.0219954540757858,0.126358932643706,0.143628571428571
"d4.0_t2.0_R17.0_s8.1","A","NSEC",4,2,17,8.09002951790214,1.3,500,0.232242642026964,0.00476818200374469,0.255502816083231,0.00517082693612322,0.416,0.022042867327097,0.178648186174588,0.143628571428571
"d4.0_t2.0_R2.3_s8.1","F","ErC10",4,2,2.3,8.09002951790214,2.01968716248917,500,0.994893863029991,0.0398951619140952,1.3356774112137,0.0806268712123098,0.678,0.0208957411928843,0.492598003051043,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","C","NSEC",4,2,2.3,8.09002951790214,1.3,500,0.608790289086503,0.012509833997095,0.669863488672752,0.0137941825788475,0.372,0.0216155499583055,0.468300222374233,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","A","ErC50",4,2,2.3,8.09002951790214,5.0532895646328,500,-0.0200717130836505,0.0122587725631892,0.274574850522325,0.0101593307864079,0.948,0.00992935043192656,-0.00397200928759938,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","A","ErC10",4,2,2.3,8.09002951790214,2.01968716248917,500,0.38493353550481,0.0132273595574952,0.48526321120295,0.017603992240926,0.894,0.0137669168661687,0.190590672978481,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","C","ErC50",4,2,2.3,8.09002951790214,5.0532895646328,500,-0.0332979408443257,0.0155578003165415,0.349126457116146,0.0108103533760095,0.85,0.0159687194226713,-0.00658935935066395,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","D","NSEC",4,2,2.3,8.09002951790214,1.3,500,0.675043681629922,0.0146470029080219,0.750157839729808,0.0179916500634366,0.33,0.0210285520186246,0.519264370484555,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","C","ErC10",4,2,2.3,8.09002951790214,2.01968716248917,500,0.210883777462581,0.0115779165663397,0.333709447653841,0.0130270274900105,0.92,0.0121326007104825,0.104414080249278,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","D","ErC50",4,2,2.3,8.09002951790214,5.0532895646328,500,-0.103836227743938,0.0163166647689734,0.378988790380977,0.0138072578792764,0.84,0.0163951212255354,-0.0205482441518238,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","B1","NSEC",4,2,2.3,8.09002951790214,1.3,500,0.806578927212989,0.017264534063931,0.894037789978661,0.020366224725435,0.174,0.0169542914921267,0.620445328625376,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","B2","NSEC",4,2,2.3,8.09002951790214,1.3,500,1.89463624338546,0.0174278210366676,1.93422005957098,0.0185448300781965,0,0,1.4574124949119,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","D","ErC10",4,2,2.3,8.09002951790214,2.01968716248917,500,0.253963115465258,0.0130034914547078,0.38584137703613,0.0156340287764748,0.894,0.0137669168661687,0.125743788534191,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","B2","ErC50",4,2,2.3,8.09002951790214,5.0532895646328,500,-0.514492154464528,0.0140045988772047,0.602138225884673,0.0118582315923607,0.97,0.00762889244910426,-0.10181331346325,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","B3","ErC10",4,2,2.3,8.09002951790214,2.01968716248917,500,0.431586047969737,0.0170780990186456,0.576025683786216,0.019944265888744,0.698,0.0205327056181108,0.213689553503835,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","B3","NSEC",4,2,2.3,8.09002951790214,1.3,500,0.924857928870259,0.0180755916240381,1.00915755353717,0.0206155472953395,0.064,0.0109456840809517,0.711429176054045,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","E","ErC50",4,2,2.3,8.09002951790214,5.0532895646328,500,-0.535210161586145,0.0132406382670347,0.611499675733831,0.0114293057671962,0.584,0.022042867327097,-0.105913218457141,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","B3","ErC50",4,2,2.3,8.09002951790214,5.0532895646328,500,-0.382951307462903,0.0138719446836385,0.492620236786111,0.01139284438432,0.598,0.0219269696948758,-0.0757825773814984,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","E","NSEC",4,2,2.3,8.09002951790214,1.3,500,0.746685173094885,0.0122554801458405,0.795290480094335,0.0136413528708843,0.228,0.0187625158227781,0.574373210072988,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","B2","ErC10",4,2,2.3,8.09002951790214,2.01968716248917,500,1.08978973493526,0.0157174522580162,1.14495143163642,0.0169132806653834,0.896,0.013651666564929,0.539583434095873,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","B1","ErC50",4,2,2.3,8.09002951790214,5.0532895646328,500,-0.283911834133316,0.0154801831359067,0.44741963351157,0.011817690918314,0.708,0.0203340109176719,-0.0561835672589141,0.152257142857143
