"dataset","arm","endpoint","estimate","lower","upper","preparation","n","n_censored","elapsed","x_min","x_max","design_span","at_lower","at_upper","at_boundary","interval_at_boundary","interval_spans_design","max_rhat","divergences","not_converged","usable"
"c_proliferum2","SQ","ErC50",326.393693693694,301.371171171171,351.416216216216,NA,70,0,30.469407081604,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00603387819366,0,FALSE,TRUE
"c_proliferum2","A","NSEC",246.681114647102,231.883983596708,263.018478449675,"raw",70,0,18.64044880867,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00241521676861,0,FALSE,TRUE
"c_proliferum2","B1","NSEC",219.901458663439,189.650009581551,242.217424016964,"floored",70,0,58.511412858963,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00295475312204,0,FALSE,TRUE
"c_proliferum2","B2","NSEC",320.736659171657,211.437331522936,457.724899876241,"raw",70,0,236.667644500732,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.04586683601197,11,FALSE,TRUE
"c_proliferum2","B3","NSEC",227.806205847864,198.423808228144,245.529275359431,"floored",70,0,9.464026927948,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00283727415882,0,FALSE,TRUE
"c_proliferum2","C","NSEC",188.129683010903,171.080602700443,207.905744430833,"censored",70,10,62.982447385788,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00185059906633,0,FALSE,TRUE
"c_proliferum2","C2","NSEC",187.745777431011,170.923370726112,207.305560719662,"interval",70,10,38.1499025821686,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00193435300583,0,FALSE,TRUE
"c_proliferum2","D","NSEC",186.715702016765,166.851572480057,208.372180578472,"raw",60,0,81.4233124256134,0.1,420,419.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00196555656007,0,FALSE,TRUE
"c_proliferum2","SQ","NSEC",204.499412673514,179.662415379037,255.229786594746,NA,70,0,30.469407081604,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00603387819366,0,FALSE,TRUE
"r_salina","A","ErC10",4.88564064064064,4.86562162162162,4.92567867867868,"bound",85,0,23.9283645153046,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00094843781807,1,FALSE,TRUE
"r_salina","A_raw_dropped","ErC10",4.88564064064064,4.82558358358358,4.96571671671672,"raw",69,0,26.7698447704315,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00671852655066,3,FALSE,TRUE
"r_salina","B1","ErC10",4.72548848848849,4.56533633633634,4.9456976976977,"floored",85,0,143.529759645462,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00133029365512,11,FALSE,TRUE
"r_salina","B2","ErC10",0.941893893893894,0.001,1.72263563563564,"bound",85,0,53.0751960277557,0.001,20,19.999,FALSE,FALSE,FALSE,TRUE,FALSE,1.01350405617687,8,FALSE,FALSE
"r_salina","B3","ErC10",4.74550750750751,4.60537437437437,4.92567867867868,"floored",85,0,22.7535767555237,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00420693818936,6,FALSE,TRUE
"r_salina","C","ErC10",4.76552652652653,4.64541241241241,4.9456976976977,"censored",85,20,63.6221249103546,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197705421554,5,FALSE,TRUE
"r_salina","C2","ErC10",4.88564064064064,0.001,4.98573573573574,"interval",85,20,229.623673200607,0.001,20,19.999,FALSE,FALSE,FALSE,TRUE,FALSE,1.00114816203446,11,FALSE,FALSE
"r_salina","D","ErC10",2.80324224224224,2.63310610610611,2.93835035035035,"bound",65,0,638.620708703995,0.001,5,4.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00462750089342,18,FALSE,TRUE
"r_salina","SQ","ErC10",4.62539339339339,4.28507007007007,4.88564064064064,NA,85,0,14.6760654449463,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00155620274891,7,FALSE,TRUE
"r_salina","A","ErC50",5.02577377377377,5.00575475475476,5.02577377377377,"bound",85,0,23.9283645153046,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00094843781807,1,FALSE,TRUE
"r_salina","A_raw_dropped","ErC50",5.02577377377377,5.00575475475476,5.04579279279279,"raw",69,0,26.7698447704315,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00671852655066,3,FALSE,TRUE
"r_salina","B1","ErC50",5.06581181181181,5.00575475475476,5.10584984984985,"floored",85,0,143.529759645462,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00133029365512,11,FALSE,TRUE
"r_salina","B2","ErC50",2.16305405405405,1.06200800800801,3.38421421421421,"bound",85,0,53.0751960277557,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.01350405617687,8,FALSE,TRUE
"r_salina","B3","ErC50",5.06581181181181,5.02577377377377,5.10584984984985,"floored",85,0,22.7535767555237,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00420693818936,6,FALSE,TRUE
"r_salina","C","ErC50",5.04579279279279,5.00575475475476,5.08583083083083,"censored",85,20,63.6221249103546,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197705421554,5,FALSE,TRUE
"r_salina","C2","ErC50",5.02577377377377,5.00575475475476,5.04579279279279,"interval",85,20,229.623673200607,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00114816203446,11,FALSE,TRUE
"r_salina","D","ErC50",5,5,5,"bound",65,0,638.620708703995,0.001,5,4.999,FALSE,TRUE,TRUE,TRUE,FALSE,1.00462750089342,18,FALSE,FALSE
"r_salina","SQ","ErC50",5.06581181181181,4.9456976976977,5.18592592592593,NA,85,0,14.6760654449463,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00155620274891,7,FALSE,TRUE
"r_salina","A","NSEC",4.86715223648772,4.83197698456281,4.93030703642906,"bound",85,0,23.9283645153046,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00094843781807,1,FALSE,TRUE
"r_salina","A_raw_dropped","NSEC",4.84699441977867,4.79673086022932,4.96623329603946,"raw",69,0,26.7698447704315,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00671852655066,3,FALSE,TRUE
"r_salina","B1","NSEC",4.67042363252151,4.49110358161811,4.9287131936072,"floored",85,0,143.529759645462,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00133029365512,11,FALSE,TRUE
"r_salina","B2","NSEC",1.26514751102168,0.649813381306804,2.19450293980711,"bound",85,0,53.0751960277557,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.01350405617687,8,FALSE,TRUE
"r_salina","B3","NSEC",4.68842147222613,4.51432138654689,4.92676109083715,"floored",85,0,22.7535767555237,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00420693818936,6,FALSE,TRUE
"r_salina","C","NSEC",4.71288551755256,4.564111235691,4.94998684824118,"censored",85,20,63.6221249103546,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197705421554,5,FALSE,TRUE
"r_salina","C2","NSEC",4.85368986070733,4.7671136002254,4.97329090849553,"interval",85,20,229.623673200607,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00114816203446,11,FALSE,TRUE
"r_salina","D","NSEC",2.26933358755813,2.07166785616532,2.44574462890323,"bound",65,0,638.620708703995,0.001,5,4.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00462750089342,18,FALSE,TRUE
"r_salina","SQ","NSEC",4.53634430568844,4.16922746406822,4.88685833901998,NA,85,0,14.6760654449463,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00155620274891,7,FALSE,TRUE
"r_salina2","A","ErC10",51.0605405405405,36.0456756756757,69.0783783783784,"bound",70,0,12.7194974422455,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197690777226,0,FALSE,TRUE
"r_salina2","A_raw_dropped","ErC10",60.0694594594595,48.0575675675676,71.0803603603604,"raw",66,0,23.2905557155609,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.0026224767092,0,FALSE,TRUE
"r_salina2","B1","ErC10",87.0962162162162,81.0902702702703,92.1011711711712,"floored",70,0,393.655129671097,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00126455025926,0,FALSE,TRUE
"r_salina2","B2","ErC10",0.01,0.01,135.143783783784,"bound",70,0,403.049807071686,0.01,1000,999.99,TRUE,FALSE,TRUE,TRUE,FALSE,1.00909743388977,12,FALSE,FALSE
"r_salina2","B3","ErC10",87.0962162162162,81.0902702702703,91.1001801801802,"floored",70,0,9.11304664611816,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00370023218836,0,FALSE,TRUE
"r_salina2","C","ErC10",65.0744144144144,56.0654954954955,75.0843243243243,"censored",70,21,33.8929679393768,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00145949695444,0,FALSE,TRUE
