"dataset","arm","parameter","mean","sd","q2.5","q50","q97.5"
"r_salina","A","top_Intercept",1.42148409335,0.00698401340455795,1.4079091625,1.421461,1.43523051
"r_salina","A","beta_Intercept",0.4308657924025,0.214923518025621,0.21268704825,0.39010483,0.902628368
"r_salina","A","nec_Intercept",4.8668043438125,0.0215410321697901,4.834207395,4.86421165,4.9185393925
"r_salina","A","sigma",0.052769982080625,0.00429209428832916,0.045172845725,0.0524946195,0.062029112
"r_salina","B1","bot_Intercept",-0.0033898201035278,0.00929573915101539,-0.021590301125,-0.0032249572,0.014607774675
"r_salina","B1","top_Intercept",1.421545591625,0.00480206997319107,1.4121441975,1.42156535,1.43113461
"r_salina","B1","beta_Intercept",0.67253380153075,0.474972311981969,0.12209363975,0.54268617,2.028987165
"r_salina","B1","nec_Intercept",4.680067466225,0.112850194582924,4.4856218875,4.6668572,4.923817405
"r_salina","B1","sigma",0.03760149510625,0.0030430965267809,0.03231569335,0.037363085,0.0441853083
"r_salina","B2","top_Intercept",1.45779837765125,0.142421065596199,1.1788090575,1.45745735,1.73865704
"r_salina","B2","beta_Intercept",-0.434116900755444,1.26604374680953,-1.33632181,-0.69363836,4.087105435
"r_salina","B2","nec_Intercept",0.775657254685125,0.334608600087624,0.24253950075,0.734399235,1.5321195175
"r_salina","B2","bot_Intercept",0,0,0,0,0
"r_salina","B2","sigma",1.02193424861875,0.0800893126544907,0.8808232495,1.01662025,1.196229035
"r_salina","B3","top_Intercept",1.4214054889,0.00478720065910085,1.4119763125,1.4214027,1.43076818
"r_salina","B3","beta_Intercept",0.713703077389925,0.442016490813372,0.17729869525,0.594427935,1.89988488
"r_salina","B3","nec_Intercept",4.6946287352625,0.105280048900058,4.5121411975,4.6841354,4.9151312325
"r_salina","B3","bot_Intercept",0,0,0,0,0
"r_salina","B3","sigma",0.037426609669125,0.00295025233047673,0.0322673415,0.037164312,0.0436571226
"r_salina","C","bot_Intercept",-5.91741681125,2.23352295242108,-11.00035115,-5.64155235,-2.5131000175
"r_salina","C","top_Intercept",1.4216072485,0.00563591981533302,1.41060354,1.4215364,1.4325931575
"r_salina","C","beta_Intercept",-0.971805591631362,0.749117977449289,-2.0450022425,-1.1090881,0.791371801
"r_salina","C","nec_Intercept",4.7237178634,0.107057674068651,4.5546647225,4.7092724,4.94862899
"r_salina","C","sigma",0.042797142838375,0.0039119113410595,0.036029745275,0.042535169,0.05114291055
"r_salina","C2","bot_Intercept",-2.4285945338875,0.170612000044274,-2.68342506,-2.4485576,-2.096488865
"r_salina","C2","top_Intercept",1.421547050825,0.00558351399652472,1.4106084025,1.42160005,1.43257382
"r_salina","C2","beta_Intercept",0.408149501438048,0.664742902259134,-0.3469220355,0.221953495,2.2360355125
"r_salina","C2","nec_Intercept",4.8633627789625,0.0609209559062445,4.7628385725,4.85785755,4.98094291
"r_salina","C2","sigma",0.0426612903543125,0.00381384302548474,0.03588965695,0.042397832,0.050803296575
"r_salina","D","bot_Intercept",-3.39047053822005,2.67894785893318,-9.41846276,-3.0655229,0.5337167855
"r_salina","D","top_Intercept",1.427020573175,0.00533882533684073,1.4169284075,1.42696305,1.4376645825
"r_salina","D","beta_Intercept",-2.76332042917409,0.802505274542706,-3.865523065,-2.9272224,-0.80355121075
"r_salina","D","nec_Intercept",2.216489961625,0.0966294017296941,2.0105499825,2.22014455,2.3940918475
"r_salina","D","sigma",0.040264575793875,0.00379877037613134,0.03358318415,0.039954075,0.04859440025
"r_salina","SQ","bot_Intercept",0.0589825459665,0.00796204192010967,0.044105803,0.0587393315,0.075339519975
"r_salina","SQ","top_Intercept",0.98628074369625,0.00208514977230281,0.98155241775,0.986461575,0.98983196425
"r_salina","SQ","beta_Intercept",0.402146093343449,0.401278819437831,-0.14198052025,0.32277806,1.4803987425
"r_salina","SQ","nec_Intercept",4.5243448758,0.198398767110231,4.154139015,4.53350555,4.8578735575
"r_salina","A_raw_dropped","bot_Intercept",-1.9782725717,0.0576361601712189,-2.0922247475,-1.97847975,-1.871751565
"r_salina","A_raw_dropped","top_Intercept",1.4215480483125,0.00729142161079874,1.4075663825,1.42142745,1.4359397425
"r_salina","A_raw_dropped","beta_Intercept",0.351825758278556,0.378826638115897,-0.016476254225,0.24711976,1.5509812025
"r_salina","A_raw_dropped","nec_Intercept",4.8507375654625,0.0377708244485971,4.7965582725,4.8432254,4.956203085
"r_salina","A_raw_dropped","sigma",0.056675567492125,0.00509357549590327,0.047498289925,0.0563058225,0.067601492025
"r_salina2","A","bot_Intercept",-2.6103568079375,0.382274535296355,-3.50495415,-2.5577007,-2.018612015
"r_salina2","A","top_Intercept",0.91377600571625,0.029767639525938,0.85358117375,0.913820445,0.97146952425
"r_salina2","A","beta_Intercept",-6.591254732325,0.176289716308598,-6.9713445575,-6.5817756,-6.2748548375
"r_salina2","A","nec_Intercept",32.3159563179375,9.15899407851569,15.5288399,31.8225525,51.6597267
"r_salina2","A","sigma",0.1642829489325,0.014783780494608,0.13875486275,0.16317852,0.19651096575
"r_salina2","B1","bot_Intercept",0.00122481387020752,0.0137197603310892,-0.025512962475,0.00121755655,0.02783088985
"r_salina2","B1","top_Intercept",0.9334353748775,0.0106318717778567,0.91303454175,0.933378225,0.95420839
"r_salina2","B1","beta_Intercept",-3.554474380825,0.143660038343166,-3.8211876375,-3.5588288,-3.258814625
"r_salina2","B1","nec_Intercept",83.256412095,3.20562020074846,76.292681275,83.5287195,88.81601675
"r_salina2","B1","sigma",0.062337481151125,0.00564692895320978,0.052512183825,0.061913354,0.074535626325
"r_salina2","B2","top_Intercept",0.89710795741125,0.0914353065785963,0.7195512535,0.896691305,1.08099552
"r_salina2","B2","beta_Intercept",1.25501182554041,3.93426823033403,-4.067909725,0.623725025,10.277538275
"r_salina2","B2","nec_Intercept",114.12689144375,21.5408414928306,68.3105723,115.6424,148.44995425
"r_salina2","B2","bot_Intercept",0,0,0,0,0
"r_salina2","B2","sigma",0.5573694249225,0.0479584351047796,0.47228591975,0.55362593,0.66121584425
"r_salina2","B3","top_Intercept",0.93344058328625,0.0103952327242395,0.91320005325,0.9334365,0.95418519925
"r_salina2","B3","beta_Intercept",-3.558192507575,0.126295676740331,-3.7956830675,-3.55808155,-3.3014229725
"r_salina2","B3","nec_Intercept",83.286106019125,3.06957831019908,76.719767625,83.583346,88.55736715
"r_salina2","B3","bot_Intercept",0,0,0,0,0
"r_salina2","B3","sigma",0.06166908369775,0.00541846087397022,0.05186450815,0.0614082985,0.07298974085
"r_salina2","C","bot_Intercept",-3.0552504525375,0.772235270885357,-5.1359691075,-2.82000025,-2.23307253
