"dataset","arm","endpoint","estimate","lower","upper","n","n_censored","escalated","n_requested","n_averaged","dropped_rhat","elapsed"
"c_proliferum","C2","NSEC",1.91165376041576,0.692455666639063,2.78351972003628,85,12,FALSE,14,7,"",280.361973524094
"c_proliferum","D","ErC10",2.53803003003003,1.94255355355355,3.29363463463463,65,0,FALSE,14,6,"ecx4param ecxll4",3654.38644480705
"c_proliferum","D","ErC50",5,5,5,65,0,FALSE,14,6,"ecx4param ecxll4",3654.38644480705
"c_proliferum","D","NSEC",1.46531738052861,0.694677986153275,2.48848940675465,65,0,FALSE,14,6,"ecx4param ecxll4",3654.38644480705
"c_proliferum","SQ","ErC10",3.20404304304304,2.5233963963964,4.04484184184184,85,0,FALSE,14,8,"ecx4param ecxwb1 ecxll4",173.555025577545
"c_proliferum","SQ","ErC50",5.6864014014014,4.9456976976977,6.34702902902903,85,0,FALSE,14,8,"ecx4param ecxwb1 ecxll4",173.555025577545
"c_proliferum","SQ","NSEC",2.68456650290974,1.66328877554824,3.61274459121777,85,0,FALSE,14,8,"ecx4param ecxwb1 ecxll4",173.555025577545
"c_proliferum2","A","ErC10",155.23963963964,121.209009009009,241.317117117117,70,0,FALSE,14,8,"",137.007588148117
"c_proliferum2","A","ErC50",369.432432432432,355.41981981982,381.443243243243,70,0,FALSE,14,8,"",137.007588148117
"c_proliferum2","A","NSEC",66.791050603642,21.6734430621213,226.435790126243,70,0,FALSE,14,8,"",137.007588148117
"c_proliferum2","B1","ErC10",188.269369369369,156.240540540541,220.298198198198,70,0,FALSE,14,7,"",264.189438581467
"c_proliferum2","B1","ErC50",357.421621621622,343.409009009009,369.432432432432,70,0,FALSE,14,7,"",264.189438581467
"c_proliferum2","B1","NSEC",88.4526909039297,32.008117012556,169.605203027621,70,0,FALSE,14,7,"",264.189438581467
"c_proliferum2","B2","ErC10",239.315315315315,70.1630630630631,396.456756756757,70,0,FALSE,6,4,"nec4param ecxwb1",301.084370136261
"c_proliferum2","B2","ErC50",349.414414414414,255.32972972973,432.489189189189,70,0,FALSE,6,4,"nec4param ecxwb1",301.084370136261
"c_proliferum2","B2","NSEC",269.836317740874,138.113879326854,406.242694138257,70,0,FALSE,6,4,"nec4param ecxwb1",301.084370136261
"c_proliferum2","B3","ErC10",187.268468468468,157.241441441441,221.299099099099,70,0,FALSE,6,6,"",80.3691563606262
"c_proliferum2","B3","ErC50",357.421621621622,342.408108108108,369.432432432432,70,0,FALSE,6,6,"",80.3691563606262
"c_proliferum2","B3","NSEC",85.7052072566192,29.653103598032,171.03877003893,70,0,FALSE,6,6,"",80.3691563606262
"c_proliferum2","C","ErC10",207.286486486486,157.241441441441,225.302702702703,70,10,FALSE,14,7,"",316.712062597275
"c_proliferum2","C","ErC50",356.420720720721,344.40990990991,370.433333333333,70,10,FALSE,14,7,"",316.712062597275
"c_proliferum2","C","NSEC",178.291403500286,49.4125659263151,201.980783278373,70,10,FALSE,14,7,"",316.712062597275
"c_proliferum2","C2","ErC10",207.286486486486,158.242342342342,225.302702702703,70,10,FALSE,14,7,"",165.854724884033
"c_proliferum2","C2","ErC50",356.420720720721,344.40990990991,370.433333333333,70,10,FALSE,14,7,"",165.854724884033
"c_proliferum2","C2","NSEC",178.543257273601,49.2569787431767,201.741352129953,70,10,FALSE,14,7,"",165.854724884033
"c_proliferum2","D","ErC10",206.897597597598,161.072174674675,224.971371371371,60,0,FALSE,14,7,"",960.447060108185
"c_proliferum2","D","ErC50",356.531631631632,342.661061061061,369.561561561562,60,0,FALSE,14,7,"",960.447060108185
"c_proliferum2","D","NSEC",178.349738775198,59.4569861902845,201.169652412576,60,0,FALSE,14,7,"",960.447060108185
"c_proliferum2","SQ","ErC10",210.289189189189,186.267567567568,236.312612612613,70,0,FALSE,14,11,"",148.591892719269
"c_proliferum2","SQ","ErC50",354.418918918919,329.396396396396,377.43963963964,70,0,FALSE,14,11,"",148.591892719269
"c_proliferum2","SQ","NSEC",106.854334162627,45.3106296445704,173.02073215912,70,0,FALSE,14,11,"",148.591892719269
"r_salina","A","ErC10",4.88564064064064,4.54531731731732,4.92567867867868,85,0,FALSE,14,4,"ecx4param ecxwb1 ecxwb2 ecxll4",279.550973892212
"r_salina","A","ErC50",5.02577377377377,5.00575475475476,5.04579279279279,85,0,FALSE,14,4,"ecx4param ecxwb1 ecxwb2 ecxll4",279.550973892212
"r_salina","A","NSEC",4.83446204774161,3.94767673873994,4.90908531715651,85,0,FALSE,14,4,"ecx4param ecxwb1 ecxwb2 ecxll4",279.550973892212
"r_salina","B1","ErC10",4.50527927927928,3.64446146146146,4.92567867867868,85,0,FALSE,14,5,"ecxwb1",777.961647748947
"r_salina","B1","ErC50",5.08583083083083,5.00575475475476,5.18592592592593,85,0,FALSE,14,5,"ecxwb1",777.961647748947
"r_salina","B1","NSEC",4.07448095375474,1.81319884684626,4.90640091448328,85,0,FALSE,14,5,"ecxwb1",777.961647748947
"r_salina","B2","ErC10",0.501475475475475,0.261247247247247,1.30223623623624,85,0,FALSE,6,6,"",82.5124566555023
