"arm","x","est","lo","hi"
"A",14.6870294562792,-0.0847393918618634,-0.0971528138823961,-0.0723954313660164
"A",14.7799853389139,-0.0858853891500751,-0.0984163642243677,-0.0734734735079891
"A",14.8729412215485,-0.087027329933667,-0.0996088321153087,-0.0745395092006641
"A",14.9658971041832,-0.0881652295648885,-0.100788757762236,-0.0755730293602767
"A",15.0588529868179,-0.0892991033338073,-0.101965912025661,-0.0766423597438799
"A",15.1518088694526,-0.0904289664685794,-0.103210111160898,-0.0777079637240857
"A",15.2447647520873,-0.0915548341357174,-0.104439826552266,-0.0787461467466211
"A",15.3377206347219,-0.0926767214403579,-0.105638739376061,-0.079736840236187
"A",15.4306765173566,-0.0937946434265273,-0.106789561497202,-0.0807405902723633
"A",15.5236323999913,-0.0949086150774064,-0.108007578344521,-0.0817452966019417
"A",15.616588282626,-0.0960186513155945,-0.109138677590978,-0.0827714666027709
"A",15.7095441652607,-0.0971247670033706,-0.110287056751905,-0.0837770225518048
"A",15.8025000478953,-0.0982269769429556,-0.111482329889451,-0.0848165058089526
"A",15.89545593053,-0.0993252958767715,-0.11266503416914,-0.0858426481143256
"A",15.9884118131647,-0.1004197384877,-0.1138506971676,-0.086855908458894
"A",16.0813676957994,-0.101510319399341,-0.115018382785226,-0.0878827339834221
"A",16.174323578434,-0.102597053176266,-0.116152779560761,-0.0888687239309073
"A",16.2672794610687,-0.103679954324278,-0.117311211359175,-0.0898999027760334
"A",16.3602353437034,-0.10475903729066,-0.118449140281137,-0.090936825659622
"A",16.4531912263381,-0.105834316464432,-0.119599619495388,-0.091969380016414
"A",16.5461471089728,-0.106905806176599,-0.120747169970994,-0.0929413267696009
"A",16.6391029916074,-0.107973520700406,-0.121941002919694,-0.0938797534420558
"A",16.7320588742421,-0.109037474251582,-0.123136011522755,-0.0948405218695296
"A",16.8250147568768,-0.110097680988592,-0.124273282361085,-0.095837344916324
"A",16.9179706395115,-0.111154155012881,-0.125417246781884,-0.0968361051844619
"A",17.0109265221462,-0.112206910369122,-0.126527506252615,-0.0977831684241435
"A",17.1038824047808,-0.11325596104546,-0.127675682192398,-0.098689008655877
"A",17.1968382874155,-0.114301320973756,-0.128809596551661,-0.0996079276246487
"A",17.2897941700502,-0.115343004029827,-0.129896946540908,-0.10052906410064
"A",17.3827500526849,-0.116381024033692,-0.131055547663033,-0.10143912212988
"A",17.4757059353195,-0.117415394749806,-0.132214872594731,-0.10238149609261
"A",17.5686618179542,-0.118446129887305,-0.133268403232588,-0.103316807564001
"A",17.6616177005889,-0.11947324310024,-0.134379227376421,-0.104187747721093
"A",17.7545735832236,-0.120496747987815,-0.135555583834401,-0.105054350482224
"A",17.8475294658583,-0.121516658094625,-0.136690314094449,-0.105888092001156
"A",17.9404853484929,-0.122532986910885,-0.137797245742472,-0.106693781014627
"A",18.0334412311276,-0.123545747872671,-0.138863978091925,-0.107571173703803
"A",18.1263971137623,-0.124554954362147,-0.139897732248356,-0.108464750974064
"A",18.219352996397,-0.125560619707798,-0.140968301774587,-0.109374407255571
"A",18.3123088790317,-0.126562757184662,-0.142069684768515,-0.110241558150545
"A",18.4052647616663,-0.127561380014558,-0.14321608891,-0.111121235983792
"A",18.498220644301,-0.128556501366313,-0.144356718166919,-0.111994930015328
"B1",0,0.11850540594,0.114636886,0.12244624875
"B1",0.0929558826346784,0.11850540594,0.114636886,0.12244624875
"B1",0.185911765269357,0.11850540594,0.114636886,0.12244624875
"B1",0.278867647904035,0.11850540594,0.114636886,0.12244624875
"B1",0.371823530538714,0.11850540594,0.114636886,0.12244624875
"B1",0.464779413173392,0.11850540594,0.114636886,0.12244624875
"B1",0.557735295808071,0.11850540594,0.114636886,0.12244624875
"B1",0.650691178442749,0.11850540594,0.114636886,0.12244624875
"B1",0.743647061077427,0.11850540594,0.114636886,0.12244624875
"B1",0.836602943712106,0.11850540594,0.114636886,0.12244624875
"B1",0.929558826346784,0.11850540594,0.114636886,0.12244624875
"B1",1.02251470898146,0.11850540594,0.114636886,0.12244624875
"B1",1.11547059161614,0.11850540594,0.114636886,0.12244624875
"B1",1.20842647425082,0.11850540594,0.114636886,0.12244624875
"B1",1.3013823568855,0.118505188760237,0.114636886,0.12244624875
"B1",1.39433823952018,0.118504338853834,0.114636886,0.12244624875
"B1",1.48729412215485,0.118501691108158,0.11463585375,0.122438404
"B1",1.58025000478953,0.118491019550693,0.114631356,0.122415502
"B1",1.67320588742421,0.118460814774978,0.1145376375,0.1223666935
"B1",1.76616177005889,0.118378398133073,0.114314082,0.12228369275
"B1",1.85911765269357,0.118195921810762,0.113840107217981,0.122102011
"B1",1.95207353532825,0.11781659940257,0.112092408633039,0.121943454
"B1",2.04502941796293,0.117075644092805,0.109528852746344,0.12159145175
"B1",2.1379853005976,0.115865637103697,0.106961983900145,0.121170377481091
"B1",2.23094118323228,0.114199040184473,0.104394628842939,0.12078065675
"B1",2.32389706586696,0.112195109347739,0.101906059836322,0.12036929175
"B1",2.41685294850164,0.109956868053149,0.0994254336349986,0.11994470275
"B1",2.50980883113632,0.107498559940578,0.0969838430093449,0.1194602435
"B1",2.602764713771,0.104865576384077,0.094574536641093,0.1187063015
"B1",2.69572059640567,0.102123274987908,0.0921299333099934,0.117667192429359
"B1",2.78867647904035,0.0993187205381972,0.0896205043592914,0.11570707375
"B1",2.88163236167503,0.0965147813997395,0.0872257489520245,0.112121186698121
"B1",2.97458824430971,0.0937596588899347,0.0848663401867999,0.107881577785769
"B1",3.06754412694439,0.0910675011198548,0.0825571855448995,0.104014953473761
"B1",3.16050000957907,0.0884497787876939,0.0803537358257667,0.100440216938537
"B1",3.25345589221374,0.0859070182603986,0.0780902253668955,0.0970586906683656
"B1",3.34641177484842,0.0834376284733018,0.0758407219635833,0.0938085758441374
"B1",3.4393676574831,0.0810394107900786,0.0735704096044724,0.0907047225533901
