"dataset","endpoint","arm","estimate","lower","upper","preparation","n","n_censored","elapsed","x_min","x_max","design_span","at_lower","at_upper","at_boundary","interval_at_boundary","interval_spans_design","max_rhat","divergences","not_converged","usable","a_est","r","rlo","rhi"
"r_salina","ErC10","D",2.80324224224224,2.63310610610611,2.93835035035035,"bound",65,0,638.620708703995,0.001,5,4.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00462750089342,18,FALSE,TRUE,4.88564064064064,0.573771680815775,0.538947970139867,0.601425803999586
"r_salina","ErC50","A",5.02577377377377,5.00575475475476,5.02577377377377,"bound",85,0,23.9283645153046,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00094843781807,1,FALSE,TRUE,5.02577377377377,1,0.99601672898142,1
"r_salina","ErC50","B1",5.06581181181181,5.00575475475476,5.10584984984985,"floored",85,0,143.529759645462,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00133029365512,11,FALSE,TRUE,5.02577377377377,1.00796654203716,0.99601672898142,1.01593308407433
"r_salina","ErC50","B2",2.16305405405405,1.06200800800801,3.38421421421421,"bound",85,0,53.0751960277557,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.01350405617687,8,FALSE,TRUE,5.02577377377377,0.430392244342874,0.211312338320904,0.673371776476333
"r_salina","ErC50","B3",5.06581181181181,5.02577377377377,5.10584984984985,"floored",85,0,22.7535767555237,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00420693818936,6,FALSE,TRUE,5.02577377377377,1.00796654203716,1,1.01593308407433
"r_salina","ErC50","C",5.04579279279279,5.00575475475476,5.08583083083083,"censored",85,20,63.6221249103546,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197705421554,5,FALSE,TRUE,5.02577377377377,1.00398327101858,0.99601672898142,1.01194981305574
"r_salina","ErC50","D",5,5,5,"bound",65,0,638.620708703995,0.001,5,4.999,FALSE,TRUE,TRUE,TRUE,FALSE,1.00462750089342,18,FALSE,FALSE,5.02577377377377,0.994871680474703,0.994871680474703,0.994871680474703
"r_salina","NSEC","A",4.86715223648772,4.83197698456281,4.93030703642906,"bound",85,0,23.9283645153046,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00094843781807,1,FALSE,TRUE,4.86715223648772,1,0.99277292958679,1.01297571903913
"r_salina","NSEC","B1",4.67042363252151,4.49110358161811,4.9287131936072,"floored",85,0,143.529759645462,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00133029365512,11,FALSE,TRUE,4.86715223648772,0.959580347109057,0.922737437294343,1.01264824976256
"r_salina","NSEC","B2",1.26514751102168,0.649813381306804,2.19450293980711,"bound",85,0,53.0751960277557,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.01350405617687,8,FALSE,TRUE,4.86715223648772,0.25993588232914,0.13350997662151,0.450880275195733
"r_salina","NSEC","B3",4.68842147222613,4.51432138654689,4.92676109083715,"floored",85,0,22.7535767555237,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00420693818936,6,FALSE,TRUE,4.86715223648772,0.963278164401414,0.927507743173564,1.01224717277232
"r_salina","NSEC","C",4.71288551755256,4.564111235691,4.94998684824118,"censored",85,20,63.6221249103546,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197705421554,5,FALSE,TRUE,4.86715223648772,0.968304521527257,0.93773751342214,1.01701911255877
"r_salina","NSEC","D",2.26933358755813,2.07166785616532,2.44574462890323,"bound",65,0,638.620708703995,0.001,5,4.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00462750089342,18,FALSE,TRUE,4.86715223648772,0.46625490169499,0.42564270758465,0.502500129453142
