"cell","arm","endpoint","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse"
"d4.0_t2.0_R3.3_s8.1","B2","ErC10",202,0.93435046891609,0.0143393227800294,0.956211090972846,0.0147239911458461,0.940594059405941,0.0166318427168904
"d4.0_t2.0_R73.0_s8.1","B2","ErC10",263,0.98669570484802,0.00376887748626488,0.988579777555776,0.00376693966934506,1,0
"d8.0_t0.8_R2.3_s8.1","B2","ErC10",486,0.0010155545119226,0.00821767699198953,0.180978412237851,0.00987769519236549,0.936213991769547,0.0110849092339659
"d8.0_t1.0_R2.3_s8.1","B2","ErC10",468,0.229335678755508,0.0101031784698287,0.316644141025029,0.00680980504054095,0.756410256410256,0.0198419923140459
"d8.0_t2.0_R2.3_s8.1","B2","ErC10",36,0.43221131851379,0.0270573808068465,0.46090149578393,0.0279308878977644,0.972222222222222,0.0273892582550908
"d2.0_t0.8_R2.3_s8.1","B3","ErC10",494,0.281222066353465,0.0201432115439899,0.528318174453554,0.0307069486351683,0.939271255060729,0.0107455634831115
"d2.0_t1.0_R2.3_s8.1","B3","ErC10",490,0.429616188275545,0.021996953324026,0.648984222833779,0.0321404624985594,0.86734693877551,0.0153234665026448
"d2.0_t2.0_R2.3_s8.1","B3","ErC10",475,0.728884721263024,0.026864632198454,0.93453878915092,0.0347572497051677,0.738947368421053,0.0201522706112424
"d4.0_t0.8_R2.3_s8.1","B3","ErC10",493,0.0836168073864503,0.0138795241177209,0.31901604321229,0.024703057476839,0.937119675456389,0.0109328013191208
"d4.0_t1.0_R2.3_s8.1","B3","ErC10",482,0.224747618164719,0.0153921467900075,0.405547947596811,0.0198303185283818,0.87344398340249,0.01514381892317
"d4.0_t2.0_R17.0_s8.1","B3","ErC10",427,0.289276334022021,0.00291999599940926,0.295487789717946,0.00404759655911221,0.0398126463700234,0.00946181770504291
"d4.0_t2.0_R2.3_s8.1","B3","ErC10",451,0.394310123586965,0.0166451701268496,0.529299757615156,0.0176615591217752,0.711751662971175,0.0213284541437427
"d4.0_t2.0_R3.3_s8.1","B3","ErC10",403,0.373055382786572,0.0149346010166679,0.478365264470481,0.0181116994585517,0.578163771712159,0.0246005519916146
"d4.0_t2.0_R73.0_s8.1","B3","ErC10",483,0.297799026759898,0.00161372192389409,0.299899042664215,0.00159039456186523,0,0
"d8.0_t0.8_R2.3_s8.1","B3","ErC10",488,-0.000915917082575861,0.00813236503258213,0.179467990801656,0.00965270519943066,0.936475409836066,0.0110410204417138
"d8.0_t1.0_R2.3_s8.1","B3","ErC10",479,0.173647038817461,0.0102927051583948,0.284240230580381,0.00700884526775879,0.778705636743215,0.0189672373306532
"d8.0_t2.0_R2.3_s8.1","B3","ErC10",409,0.210551773544019,0.00962781277612739,0.28662086301282,0.0167385685982838,0.709046454767726,0.0224588501594953
