"cell","arm","model","wi"
"d8.0_t2.0_R2.3_s8.1","B3","ecx4param",0.15938812923136
"d8.0_t2.0_R2.3_s8.1","B3","ecxwb1",0.122631136251405
"d8.0_t2.0_R2.3_s8.1","B3","ecxll5",0.0873367810540377
"d8.0_t2.0_R2.3_s8.1","C","nec4param",0.328040322728957
"d8.0_t2.0_R2.3_s8.1","C","neclin",0.311380932326439
"d8.0_t2.0_R2.3_s8.1","C","ecxll5",0.123125976617677
"d8.0_t2.0_R2.3_s8.1","C","ecxwb2",0.0889582447508715
"d8.0_t2.0_R2.3_s8.1","C","ecx4param",0.0471399009709454
"d8.0_t2.0_R2.3_s8.1","C","ecxll4",0.0461706682771475
"d8.0_t2.0_R2.3_s8.1","C","ecxwb1",0.036745539736918
"d8.0_t2.0_R2.3_s8.1","C","ecxlin",0.0184384145910452
"d8.0_t2.0_R2.3_s8.1","E","ecxwb2",0.1985263347208
"d8.0_t2.0_R2.3_s8.1","E","ecxwb1",0.189536011578743
"d8.0_t2.0_R2.3_s8.1","E","ecx4param",0.186324315316413
"d8.0_t2.0_R2.3_s8.1","E","ecxll4",0.185335992622034
"d8.0_t2.0_R2.3_s8.1","E","nec4param",0.0970709810245234
"d8.0_t2.0_R2.3_s8.1","E","ecxll5",0.0740037942007323
"d8.0_t2.0_R2.3_s8.1","E","nec3param",0.0449086163801106
"d8.0_t2.0_R2.3_s8.1","E","ecxexp",0.0122835612968089
"d8.0_t2.0_R2.3_s8.1","E","ecxwb2p3",0.00573314010370333
"d8.0_t2.0_R2.3_s8.1","E","ecxsigm",0.00311120432635607
"d8.0_t2.0_R2.3_s8.1","E","ecxll3",0.00306417886631769
"d8.0_t2.0_R2.3_s8.1","E","ecxwb1p3",0.000101869563457129
"d8.0_t2.0_R2.3_s8.1","F","ecxwb1",0.562927115957262
"d8.0_t2.0_R2.3_s8.1","F","ecxll5",0.0850312678980515
"d8.0_t2.0_R2.3_s8.1","F","ecx4param",0.0827050929538432
"d8.0_t2.0_R2.3_s8.1","F","ecxll4",0.0721074077446429
"d8.0_t2.0_R2.3_s8.1","F","ecxwb2",0.0489768472434186
"d8.0_t2.0_R2.3_s8.1","F","nec3param",0.0474829479146852
"d8.0_t2.0_R2.3_s8.1","F","nec4param",0.041329670970252
"d8.0_t2.0_R2.3_s8.1","F","ecxwb2p3",0.0187031486114891
"d8.0_t2.0_R2.3_s8.1","F","ecxll3",0.0146496795676592
"d8.0_t2.0_R2.3_s8.1","F","ecxexp",0.0143834344289315
"d8.0_t2.0_R2.3_s8.1","F","ecxwb1p3",0.00593999510087109
"d8.0_t2.0_R2.3_s8.1","F","ecxsigm",0.00576339160889394
