"escalated","dataset","arm","model","wi","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
FALSE,"c_proliferum2","SQ","ecxwb2p3",0.00192500680664006,0,0,1.00124499205319,0.405971210274368
FALSE,"c_proliferum2","SQ","ecxll4",0.284189255198939,0,0,1.00185775114664,0.348320300843907
FALSE,"c_proliferum2","SQ","ecxll3",2.41170881952084e-05,0,0,1.00194815669752,0.338278891142625
FALSE,"r_salina","A","nec4param",0.504958286021611,1,0,1.00094843781807,0.135416997257714
FALSE,"r_salina","A","neclin",8.49481922399998e-39,0,0,1.00193994560562,0.40233660221544
FALSE,"r_salina","A","ecxlin",1.96272987277736e-38,0,0,1.00166324256071,0.417854072817042
FALSE,"r_salina","A","ecx4param",6.26134751260738e-67,668,0,1.81312878873857,0.000728779756378998
FALSE,"r_salina","A","ecxwb1",2.1074636004155e-70,477,0,1.52913638780471,0.000892112453728584
FALSE,"r_salina","A","ecxwb2",2.21067359306102e-46,973,44,2.72490823863716,0.000583573041939679
FALSE,"r_salina","A","ecxll5",0.495041713978389,2166,0,1.0058020698045,0.091704901690351
FALSE,"r_salina","A","ecxll4",9.52835328499257e-24,1149,0,1.5653026046189,0.000862157203445917
FALSE,"r_salina","B1","nec4param",0.180185142666911,11,0,1.00133029365512,0.140115623535206
FALSE,"r_salina","B1","neclin",8.85279474399032e-60,0,0,1.00114454924163,0.450954045392136
FALSE,"r_salina","B1","ecxlin",2.22663821290616e-59,0,0,1.00077338055725,0.402122370976874
FALSE,"r_salina","B1","ecx4param",0.519005398101604,7,0,1.00209332860762,0.119239742764402
FALSE,"r_salina","B1","ecxwb1",4.33672099049427e-06,814,0,1.59095759270866,0.000839306181441357
FALSE,"r_salina","B1","ecxwb2",0.300805122510495,6,0,1.00431642673713,0.30289137899091
FALSE,"r_salina","B2","nec4param",0.11025373187506,1,0,1.00335445188307,0.0718964716930418
FALSE,"r_salina","B2","ecx4param",0.15071070968534,3,0,1.00160705319351,0.229037604987021
FALSE,"r_salina","B2","ecxwb1",0.342222513856754,76,0,1.00868805232515,0.0260796508410613
FALSE,"r_salina","B2","ecxwb2",0.113037203937417,20,0,1.00419318560275,0.052384790702554
FALSE,"r_salina","B2","ecxll5",0.138104510794511,1337,0,1.00169736794072,0.135352506035676
FALSE,"r_salina","B2","ecxll4",0.145671329850918,28,0,1.00142597817349,0.112919033944054
FALSE,"r_salina","B3","nec4param",0.116733828417843,4,0,1.00180021040763,0.155003852040016
FALSE,"r_salina","B3","ecx4param",0.286061441264406,25,0,1.00340459473136,0.104150348180364
FALSE,"r_salina","B3","ecxwb1",2.72514911256917e-23,288,0,1.93296583491103,0.000690251968571343
